Word,Occurrences
pressure,13468
meds,3830
held,11643
first,20188
restarted,8051
appears,6750
progressing,171
failure,20009
elevated,14214
decreased,8692
albumin,7297
tbili,975
slightly,4955
chronic,19789
le,2105
edema,16226
continued,33133
prophylactic,338
medications,23560
full,5642
code,5997
furosemide,2457
lisinopril,6211
spironolactone,1446
medicationsdischarge,15293
diagnosis,22104
peptic,225
yo,7667
man,3475
coronary,8514
disease,22902
ami,39
prefix,293
prefixes,700
lcx,1655
doing,1271
well,26012
developed,9952
angina,707
initially,17436
exertion,1743
then,17576
progressed,914
rest,2549
each,1228
releived,15
sl,875
ntg,633
lasting,291
than,7694
minutes,2381
presented,11135
cardiologist,1162
treatment,7069
mwmc,27
catheterization,2909
vessel,4362
bypass,4039
grafting,704
date,8952
place,4640
lad,4485
total,12781
occlusion,1589
proximally,396
distal,6702
filling,2779
via,2917
collaterals,436
rca,2835
dominant,1106
complex,2292
prox,212
involving,2640
bifurcation,339
proper,218
large,12248
om,1590
old,13485
stent,5409
widely,423
mod,1992
dysfx,5
anterior,6489
apical,1986
infero,142
ak,45
reduced,1168
lvedp,245
mmhg,3589
valvular,1609
dz,283
prebypass,340
spontaneous,1877
echo,10465
contrast,13849
body,4633
atrial,14236
appendage,1638
septal,4833
defect,3962
d,17514
doppler,5547
severely,1832
regional,4936
dysfunction,4568
hypokinesis,4043
apex,1284
septum,1919
depressed,3226
lvef,6994
estimated,2434
index,1142
min,2097
focal,7833
abnormalities,3469
mid,6805
anteroseptal,431
inferoseptal,193
inferior,4232
thrombus,3916
descending,3737
thoracic,4834
aorta,10228
calcification,1934
cusp,133
moves,110
poorly,1053
minimally,1247
gradient,2627
minimal,4435
prolapse,2158
flail,179
segments,1052
postbypass,160
paced,905
phenylephrine,723
infusion,1248
biventricular,2038
unchanged,10274
intact,3343
post,18452
decannulation,333
brought,2948
operating,2662
room,5465
where,6189
underwent,9638
graft,2938
see,6324
operative,4804
note,9023
details,2550
tolerated,5208
procedure,8447
operatively,1918
cvicu,993
condition,4750
recovery,1676
invasive,1391
pod,7266
found,17577
extubated,6330
alert,1841
oriented,1816
breathing,2597
comfortably,648
electrophysiology,233
team,4557
consulted,11742
now,10602
capturing,9
lead,1358
after,32801
permanent,309
pacemaker,1723
interrogated,185
epicardial,402
wires,1367
removed,7131
icd,1595
functioning,472
appropriately,1297
revised,59
without,21547
complication,1413
follow,15468
device,1027
clinic,3635
weeks,8420
bring,226
appointment,1707
neurologically,1201
inotropic,341
vasopressor,302
support,3466
beta,4394
blocker,2522
initiated,2824
gently,716
diuresed,3018
toward,592
preoperative,1079
weight,4817
better,2948
telemetry,1861
further,19156
chest,34009
tubes,1843
discontinued,7912
evaluated,5446
physical,4264
service,6969
assistance,1389
strength,1873
mobility,1144
time,22748
ambulating,1197
freely,307
sternal,936
pacer,1180
pocket,231
wound,5560
healing,1108
controlled,5925
oral,6104
analgesics,329
continue,8136
antibiotics,8058
per,22142
ep,880
placement,8023
discharged,10698
home,23717
vna,1147
services,1331
appropriate,3484
instructions,1246
all,9843
appointments,706
arranged,743
atenolol,2233
vytorin,59
qhs,5434
fenofibrate,108
asa,7612
prn,18052
insulin,8445
nph,1177
qam,2103
qpm,1133
followed,7182
humalog,1310
ss,593
mvi,1662
plavix,4084
allergies,550
nkda,116
cad,7516
cardiomyopathy,1462
tachycardia,6135
aicd,306
flutter,905
ablation,748
dyslipidemia,523
dependent,1750
diabetes,5216
mellitus,2044
obesity,899
conduction,563
lafb,72
peripheral,3033
fem,397
doctor,9020
bypas,5
leg,3100
claudication,153
thigh,982
tumor,2453
radiation,1904
excision,228
y,3751
o,28925
male,5686
helmeted,17
moped,5
rider,1
struck,154
tree,581
reported,5018
gcs,227
scene,186
transported,283
osh,10326
noted,24786
sided,6355
open,1632
femur,1142
fracture,8939
received,16124
intubated,10419
prior,31384
radiographic,453
studies,5435
performed,13448
that,47534
sah,526
lac,102
contusions,226
small,24164
ptx,559
reportedly,1789
unit,10783
prbcs,4133
placed,17462
into,6629
traction,95
splint,100
rle,795
head,14458
multiple,13136
foci,1376
parenchymal,1537
hemorrhage,8498
as,75087
amount,5255
likely,33009
subarachnoid,1287
location,7118
these,8285
white,3319
matter,1441
interface,51
diffuse,6488
axonal,72
injury,3596
cspine,105
traumatic,797
malalignment,283
cervical,2287
spine,5821
torso,1428
extensive,5090
worse,1969
hepatic,5668
lacerations,103
pelvic,2260
fluid,22402
density,1919
bilateral,15384
rib,1710
fractures,2973
knee,2161
xrays,168
shaft,164
femoral,4475
varus,41
angulation,156
fragment,298
relative,689
proximal,4644
medial,1089
subluxation,162
cortical,787
width,101
mri,7267
interspinous,50
ligaments,54
through,5073
distraction,23
lobal,3
central,4475
canal,1015
narrowing,1443
congenital,175
short,2365
pedicles,33
exacerbated,416
disc,1237
cord,1982
signal,1697
abnormality,3727
neural,354
foramen,567
uncovertebral,56
osteophytes,194
lenis,678
deep,2517
extremity,5098
lue,576
leni,435
upper,12056
abdomen,9411
pelvis,6910
associated,6294
compressive,535
atelectasis,8882
considerable,202
improvement,6613
appearance,4287
lobe,11674
laceration,769
fourth,338
fifth,217
ribs,361
transverse,1394
process,6227
trauma,2530
icu,14691
admittd,2
taken,6590
operation,689
ortho,898
orif,617
report,11726
neurosurgery,1486
icp,160
dilantin,1522
q,18015
hour,1604
neurochecks,22
range,6178
transfused,4064
decreasing,780
hematoma,6547
expanding,135
limb,633
soft,4917
fear,81
compartment,443
symdrome,4
signed,795
off,7956
demonstrated,5902
dvt,5109
went,3631
acute,30253
care,11971
tracheostomy,1759
ivc,1818
filter,1276
dced,162
dophoff,25
twice,4364
because,4685
fevers,8257
rising,872
count,9095
source,7953
identified,6780
put,1586
trach,2276
collar,665
awake,803
versed,626
following,9038
commands,1080
passed,1505
regular,4157
diet,7243
passy,140
bal,1042
grew,3322
mrsa,4467
kept,2100
only,11083
vanc,3489
ready,823
waiting,155
bed,2413
surgical,6350
make,1650
slow,2043
progress,876
plugged,19
pmv,122
confirming,123
aspiration,7699
video,1000
swallow,3396
tolerating,2338
thin,1262
liquids,1728
occupational,305
him,4672
basis,596
increase,4367
cognitive,231
abilities,20
memory,313
occasionally,632
has,46584
confusion,1740
improving,1694
picc,5014
will,19345
require,3086
vancomycin,11346
thru,80
pneumonia,15776
secretions,1984
undergoing,468
nebulizer,542
treatments,726
potentially,574
can,4864
dr,13617
stitle,12784
re,3913
evaluate,3169
therefore,2922
need,8065
return,1760
neuro,2674
rehab,7236
lonfg,1
hospitalization,6735
goal,3415
soon,717
scooter,13
v,8767
eye,1608
abrasion,64
bilat,469
liverlaceration,1
patellar,79
metatarsal,202
neck,4065
tp,327
loss,6854
anemia,14589
year,18126
spanish,148
speaking,970
us,3048
vacation,55
questionable,704
pmh,2364
presents,5443
jumpingfalling,1
out,11043
window,400
daughter,2852
alcohol,3405
feeling,2725
someone,71
kill,34
locked,55
himself,429
second,3020
story,98
bedroom,43
later,4178
crawling,14
outside,2144
opiates,805
cocaine,1185
ua,2928
emergency,2088
department,820
ankle,1386
family,8675
been,23263
confused,1482
aggitated,57
haldol,1126
ativan,3077
somnolent,753
hrs,2580
diltiazem,2449
poor,6471
historian,275
most,10983
information,1677
obtained,7223
ros,2096
cp,2998
sob,6522
tib,190
fib,1743
comminuted,594
calcaneus,72
dense,830
bone,4116
along,3614
aspect,1179
fibula,190
single,2407
view,1995
represent,4258
additional,3876
intraosseous,13
ligament,188
foreign,347
intraarticular,16
impacted,153
displaced,775
tibia,340
detailed,539
above,10465
intra,2818
articular,155
tibial,741
fibular,107
displacement,333
calcaneal,84
ruq,2670
findings,14105
coarse,286
lesion,6235
gallbladder,3932
distended,1692
nonfasting,1
stage,2805
gallstones,659
extra,1243
biliary,3639
ductal,860
dilatation,2270
common,3118
duct,2616
measures,3151
mm,10243
pancreas,1960
visualized,3765
bowel,11800
gas,2043
main,2461
antegrade,220
cholecystitis,2096
intracranial,3820
pathology,2599
including,6242
sign,846
low,17436
lung,13146
volumes,1672
difficult,3213
semi,265
upright,903
ap,4381
film,818
lvh,933
chf,8196
slight,2140
margin,471
tracheal,657
air,7916
column,71
standard,887
pa,2849
lateral,5275
films,741
permits,28
juxtatracheal,1
mass,10518
questioned,115
radiograph,2257
three,5900
glass,1496
detectable,73
routine,3384
radiographs,704
finding,1724
six,962
month,11373
look,449
change,9075
bronchoalveolar,299
cell,4291
carcinoma,1715
though,5448
cannot,5464
excluded,4266
borderline,2134
hilar,1841
lymph,2768
nodes,2041
should,9978
checked,2719
followup,1998
atherosclerotic,1288
cta,5066
embolism,2402
relatively,1377
ill,825
defined,686
opacities,4407
tiny,1038
nodules,1787
stated,1239
examination,4501
again,7903
opacification,2097
bases,1485
compared,8283
related,7210
layering,688
debris,294
within,14558
stem,365
bronchus,660
suggestive,3710
recommend,2061
advancing,104
least,1759
cm,18740
current,2582
position,3574
elevates,43
risk,3899
involvement,1199
plafond,7
talus,47
respect,130
posterior,5269
lle,682
lentiform,32
area,5563
attenuation,1051
skin,3399
posterolateral,123
foot,2279
significance,534
latter,229
uncertain,1143
may,14757
blister,39
possibly,3126
dressing,1231
material,1319
cast,137
requested,1015
advanced,3029
several,7931
centimeters,79
positioning,509
described,2658
exams,354
perihilar,746
superior,2163
infarct,2400
pyelonephritis,416
abscess,4237
markedly,2127
wide,468
dispersal,1
fragments,384
sustentaculum,1
tali,1
facet,283
malleolus,105
cuboid,16
navicular,22
remainder,1565
forefoot,37
peroneal,253
tendons,32
probable,1767
tear,863
talofibular,2
thickness,2536
global,4947
transmitral,213
tissue,5776
imaging,7527
suggests,1755
diastolic,4395
pcwp,1129
structurally,3043
leaflet,2432
excursion,1536
trivial,3556
during,19935
ciwa,1044
scale,4121
etoh,3933
withdrawal,2124
thiamine,1231
folate,2847
multivitamin,1332
afib,4555
rvr,1874
treated,13353
metoprolol,9088
high,8930
ammonia,576
levels,3808
lactulose,2692
orthopedics,640
agitated,1098
occassion,9
requiring,5407
codes,302
puples,1
called,4100
restraints,276
protection,1282
both,6726
staff,1484
originally,860
sent,6713
delirium,1819
unknown,2292
cause,2978
severe,14217
agititation,1
required,6714
amounts,808
sedation,2254
returned,4197
once,10967
less,4612
benzodiazipines,3
intermittently,1456
needed,7436
remained,17207
delerious,61
pulled,1215
febrile,2146
rhoncorous,3
flagyl,5333
changed,5531
azithro,340
ceftriaxone,4581
revision,404
external,1062
fixation,428
preop,248
holding,956
hypoxic,2117
externally,44
fixated,8
upon,7066
transport,205
pacu,829
became,6027
agonal,78
sats,1945
lnc,408
nrb,1643
applied,706
hr,11501
rr,3900
abg,2255
drawn,1318
coughed,62
thick,957
sputum,5905
improved,16424
respiratory,14972
status,19438
surgery,12531
postponed,87
intensive,1203
needs,1671
zosyn,5255
wiht,41
marked,2230
returning,356
stopped,6317
resolution,2763
pneuomonitis,1
resolved,8866
patients,17517
improve,2497
worsened,2179
removal,2734
f,8922
unclear,5398
recently,5784
vre,1009
infectious,4824
feel,1382
active,5768
daptomycin,850
linezolid,1395
afebrile,4472
lift,99
aggitation,92
mostly,811
zyprexa,547
tried,645
two,9460
seem,277
help,1754
monitored,4327
antipsychotics,53
approximately,3684
msec,96
etiology,6067
thought,8468
multifactorial,1023
use,4785
encephalopathy,3403
benzodiazepine,139
delririum,1
although,6702
sitters,20
interpreters,7
employed,48
much,2362
possible,11361
language,185
contributed,462
persistance,4
completely,1267
restraint,16
sitter,322
period,1398
abuse,2906
counseling,143
complicated,4723
frequent,1810
rapid,2440
increasing,3807
treating,268
seemed,901
briefly,1576
therapeutic,1994
lovenox,2282
fibrillation,7306
eligible,24
chads,303
criteria,863
fall,3356
transitioned,3054
blockers,576
urinary,4502
retention,1245
failed,1755
voiding,640
trials,285
foley,4624
occasions,339
causing,1489
hematuria,1982
straight,258
reduce,306
long,3207
term,969
indwelling,390
untenable,2
reductions,6
able,5360
void,371
own,748
culture,21025
signs,7200
dyruria,1
frequency,1803
based,2652
literature,29
indications,297
treat,1071
asymptomatic,1918
bacteuria,1
casting,15
plain,396
scan,6481
op,4443
still,4270
indication,2042
r,16591
pilon,10
managed,1887
system,1852
breakdown,300
making,933
internal,3371
ex,386
fix,62
plates,49
remain,1679
bearing,341
completed,3265
necessary,1171
orthopaedic,160
surgeon,486
ward,660
building,60
primary,8857
closed,803
dislocation,563
tibiotalar,24
joint,2414
pneumonitis,620
alcoholism,252
continuous,1009
tremens,83
polysubstance,307
abnormal,3455
presumed,2419
secondary,18090
hbv,294
thrombocytopenia,3556
thrombopoitin,1
deficiency,1846
afp,368
level,7860
yet,615
undetermined,133
bactiuria,7
colonized,78
resistant,2124
enterococcus,1632
contact,2193
namepattern,15750
telephone,4330
fax,4296
female,5452
rul,551
lymphadenopathy,2080
assess,2177
alpha,388
fetoprotein,11
pancyctopenia,1
consider,2377
marrow,2129
aspirate,493
hiv,2423
testing,1870
mental,8690
retardation,136
lfts,3606
concern,8313
stone,1262
cbd,1132
bands,4586
dbili,188
she,131219
levo,1233
ivf,4690
transfered,1852
cholangitis,1018
orientated,35
person,809
lives,671
vs,9032
arrival,6834
nc,2641
unasyn,739
zofran,1216
morphine,3307
lactate,11118
bili,3829
ercp,2473
wanted,605
tonight,174
lll,1215
pna,4962
resp,1098
sx,618
prelim,506
angiomyolipoma,38
pole,940
intrahep,1
bil,344
dil,19
enhancement,1798
caliber,796
raises,321
possibility,1698
bronchiectasis,360
pus,397
bile,1932
obstruction,4551
stricture,639
rd,448
way,506
malignacy,4
ruled,2052
liters,1485
lr,221
arrived,1053
her,89280
er,1881
atyps,2894
metas,2869
myelos,2803
thickening,3901
pericholecystic,406
dilation,1289
intrahepatic,913
mural,269
hyperenhancement,59
nondilated,46
diverticula,345
diverticulitis,1017
web,22
periampullary,47
diverticulum,362
successful,2161
cannulation,264
irregular,683
lining,32
sucessful,16
sphincterotomy,574
extracted,132
exiting,47
plastic,569
mirizzis,4
versus,1708
opacity,4166
probably,2004
explained,525
differential,2215
consideration,859
similar,3490
pancreatic,2724
technique,1472
multidetector,64
helical,43
scanning,117
administration,1525
cc,5380
optiray,298
coronal,332
sagittal,510
volume,7179
rendered,31
mip,5
reformats,113
displayed,116
effusions,8258
pneumobilia,198
traversing,49
surrounding,1687
definitively,226
malignancy,2135
segment,2214
vi,196
too,1289
characterize,516
lesions,4815
arterial,2508
anatomy,344
conventional,145
enhances,92
homogeneously,56
mesenteric,1612
node,1198
reactive,1172
precaval,1
spleen,1706
adrenal,2330
glands,639
kidneys,1628
enhance,236
excrete,102
symmetrically,148
subcentimeter,232
hypoattenuating,199
cysts,998
exophytic,168
fat,1591
containing,687
renal,24604
extrarenal,18
adenopathy,607
loops,1441
moderately,4750
colonic,1124
bones,400
osteopenic,38
degenerative,2164
changes,14325
lytic,979
sclerotic,705
study,16003
reviewed,3463
radiologist,774
initials,1134
approved,663
sat,4213
cholangits,3
evalaution,14
eval,1619
sepsis,6263
drainage,2850
npo,2283
down,8865
trend,1297
dropping,402
mentating,384
bolus,1929
maintain,1822
uo,121
sbp,5851
procedre,2
tx,743
cx,4290
growing,705
gnr,680
bottles,867
transferd,18
sicu,1510
request,908
protocol,1852
cholelithiasis,1110
extraction,278
clincally,14
gradually,1500
point,2892
definitive,483
management,6688
suppurative,8
laproscopic,18
cholecystectomy,832
recovered,766
uneventfully,53
raf,14
lopressor,1933
subsequently,4426
conversion,309
nsr,1414
possibe,5
hypoxia,3895
fields,309
pulm,1296
expalin,1
liter,523
oxygen,4627
requirment,39
setting,13722
arrhythmias,134
weaned,5899
adequate,1989
saturations,690
independently,279
difficulty,3350
choledocholithiasis,175
gram,8396
bacteremia,3433
paroxsymal,39
cabg,3789
nstemi,1949
recurrent,3218
echocardiography,661
general,2760
comments,1731
tee,2955
listed,1131
certify,580
hcfa,585
regulations,594
under,2066
anesthesia,1428
throughout,8425
complications,2268
resting,1428
bradycardia,2028
data,1508
receiving,1936
vasoactive,161
infusions,349
listing,42
pre,6170
ovale,384
saline,1260
maneuvers,212
symmetric,3463
hypertrophy,3525
simple,2643
atheroma,2244
ascending,4693
arch,2493
deformed,541
notified,1059
av,1637
seated,825
bioprosthetic,594
gradients,343
mean,1427
output,4484
hypokinetic,581
dynamic,319
contours,1341
firstname,1342
record,750
number,2268
portable,3842
lf,3431
csurg,88
csru,328
sched,62
clip,728
reason,3359
woman,3370
final,20021
basilar,1411
swan,437
ganz,277
catheter,8713
subclavian,2158
calcifications,2155
median,416
sternotomy,842
lines,974
residual,2337
pattern,2549
initial,9993
lab,2596
dental,480
consult,3408
tooth,233
extractions,47
teeth,226
redo,398
avr,1436
begin,297
activity,2778
blockade,616
titrated,1944
pacing,1490
coumadin,10759
target,473
cleared,2267
appts,88
lipitor,1913
norvasc,728
diovan,548
acidophilus,58
cea,427
lima,667
svg,1402
diagonal,459
insufficiency,2374
baseline,14413
creatinine,6770
dementia,2036
pvd,1111
hematocrit,5586
postop,829
syncopal,523
today,4917
sustained,1293
facial,1089
remembers,101
going,932
bathroom,585
early,3053
awoke,1067
approx,636
laterwith,1
bruising,256
incontinence,819
nosebleeds,36
saturday,471
lightheaded,382
developped,45
sunday,413
noticed,1280
appetite,1201
review,4788
symptoms,8773
noticing,65
lethargy,845
wife,2522
trying,325
get,1855
md,3024
months,3942
concerned,758
generalized,1411
weakness,4719
ceftazidime,1563
neutropenic,762
petechial,54
frontal,3725
acyclovir,1118
zoster,227
pe,4243
being,6278
bag,583
plts,792
complaining,1060
denying,110
ha,773
visual,634
exhausted,28
urea,5876
n,9840
sodium,9644
potassium,7656
chloride,6255
co,8124
anion,6307
gap,6874
sgpt,2661
sgot,2654
cpk,8152
alk,3323
tot,2914
phosphate,3296
magnesium,3926
uric,334
acid,4179
hos,21
fdp,346
fibrinoge,469
gran,575
bilirubin,3021
urobilngn,2070
leuk,2274
bacteria,2351
rare,1667
mucous,986
occ,404
estgfr,1005
using,3280
basos,3484
nuc,192
rbcs,747
hypochrom,895
anisocyt,915
poikilocy,849
occasional,3636
macrocyt,897
microcyt,877
polychrom,791
ovalocyt,305
teardrop,195
smr,1341
very,6291
cingulate,11
gyrus,39
intraparenchymal,782
hemorrhages,262
temporal,1703
interhemispheric,35
midline,2653
shift,2370
infarction,3303
lumbar,1741
made,7412
birthdate,55
age,3585
sex,178
numeric,3198
identifier,3197
gross,880
description,258
mariappan,2
specimen,1294
submitted,356
immunophenotyping,155
diagnosed,2467
ttl,21
biopsies,793
biopsy,4825
jar,40
interpretation,665
immunophenotypic,99
immature,78
population,77
cells,5162
myelogenous,81
leukemia,560
lack,1577
cd,4168
hla,103
promyelocytic,21
morphologic,76
cytogenetic,53
presenting,2207
ich,341
pancytopenia,930
ampl,2
atra,45
closely,1948
dic,1019
tls,44
syndrome,3572
platlets,78
ffp,2354
develop,899
overt,614
ara,67
daunurubicin,1
counts,907
responded,1953
appropriatly,9
bm,1214
remission,172
plans,896
cefepime,4536
starting,1952
hx,3385
spiked,885
cultured,562
strep,903
viridans,288
vanco,3779
headache,3430
showing,2240
what,1196
appeared,3121
brain,3330
abscesses,565
eventually,3017
broadened,429
meropenem,3290
fluconzaole,1
spike,766
complained,1673
we,6468
collections,1134
they,5557
drained,827
ir,2202
mssa,1238
neutrophil,76
drop,3351
worried,64
might,1033
having,4353
drug,2185
effect,4487
recover,252
voriconazole,411
serial,1955
cts,313
decrease,2477
retained,355
bilaterally,3019
plan,3790
complete,5447
reimage,8
thighs,140
outpatient,11786
depending,149
those,366
either,1620
abx,2135
id,4132
profound,478
hydrocephalus,916
appreciable,380
pts,4430
neurologic,968
platlet,40
discussed,2902
onc,987
decided,2722
do,2118
heparin,9159
dvts,415
anticoaulants,1
limited,5290
cellulitis,1547
bladder,4074
saddle,180
spinal,2288
tenderness,1923
indicate,740
compression,2556
nerve,556
irritation,203
decadron,657
chemotherapy,2029
pressures,4355
rates,1523
contined,52
tid,8636
control,6733
aberrancy,44
cards,334
agressive,197
electrolyte,581
repletion,648
occurrences,5
vasovagal,125
movement,1512
brady,280
light,1121
headed,69
vaso,32
vagal,202
leaving,384
same,1796
bb,1040
actually,459
helps,56
prevent,815
pedal,188
ivfs,792
ultrasounds,124
arm,2420
edematous,390
around,3701
overnight,2740
ichs,5
stop,822
evenutally,11
anticoagulated,797
converted,1206
vq,92
prob,34
access,2917
pivs,285
guided,935
continuation,174
hickman,124
piccs,3
bilateraly,24
ue,436
walking,993
passing,479
stairs,566
advised,1350
start,1573
easy,159
apml,22
syncope,1677
hpi,2039
htn,8174
dm,5387
hyperlipidemia,2648
asthma,1701
pcp,7109
regularly,388
visit,636
dizziness,1926
vomiting,6447
hypotensive,4136
nameis,1702
got,1514
atropine,572
lasix,11912
glucagon,197
sugar,666
dopamine,1455
ccu,2491
futher,166
mi,2582
amylase,3969
state,2659
decribes,3
before,4018
doctors,148
almost,565
dizzy,387
getting,1222
sitting,547
standing,1887
spinning,27
falls,794
lasted,285
minute,442
occured,230
cough,7853
bun,2099
cr,6242
trop,1375
axis,1915
st,5656
notdone,2232
caltibc,2059
ferritn,1860
trf,2152
straw,872
bcx,1048
growth,7819
ucx,986
genital,144
contamination,423
vcabg,12
gerd,1690
pcps,362
office,969
if,10860
dehydration,958
issues,5090
qd,9559
kcl,495
halved,33
came,2137
giving,278
perhaps,510
prerenal,816
steadily,351
crit,278
acd,178
transfusion,3277
units,10887
bedtime,1582
fasting,165
noon,222
actos,174
avandia,122
riss,489
lantus,1970
lipid,233
profile,217
ldl,387
hdl,920
wheezing,1665
gave,655
albuterol,4027
trazodone,946
zoloft,339
meq,1243
depletion,594
esrd,2989
hd,10467
uncomplicated,517
referred,1762
responsiveness,152
dialysis,4113
spoke,368
mother,888
night,5335
fine,406
asking,97
finances,13
etc,415
ever,306
seizure,4366
stroke,2986
numbness,953
states,3509
living,367
hip,3604
sparse,1237
notes,2563
percocet,970
vital,1872
completion,417
ems,1915
noting,173
deterioration,159
gaze,196
dry,2239
lips,78
response,2868
aphasia,331
fsbs,127
presentation,4246
notable,3685
withdrawl,300
extremities,1841
verbal,458
groans,11
vss,215
cxs,305
wnl,1401
read,1897
pending,6664
evaluation,9677
yielded,126
narcan,408
load,1346
airway,2517
intubation,3746
outpt,1312
managment,249
ethanol,1625
acetmnphn,716
bnzodzpn,1023
barbitrt,1020
tricyclic,685
tsh,3614
unremarkable,5514
ischemia,4180
arachnoid,44
cerebellopontine,19
angle,503
cistern,136
angiography,1819
arteries,2716
direction,183
eeg,3131
disorganized,262
background,1285
sharp,900
wave,3457
discharges,577
widespread,450
affecting,182
subcortical,574
structures,2874
metabolic,2452
disturbances,225
among,208
causes,1041
waves,1278
seizures,2660
